verb_key	role	arg_key
40002019001	A0	40002019004
40002019008	A0	40002019006
40002019008	A2	40002019012
40002020001	A0	40002019006
40002020002	A1	40002019012
40002020003	A0	40002019012
40002020003	A1	40002020005
40002020003	A1	40002020008
40002020011	A0	40002019012
40002020015	A0	40002020018
40002020018	A0	00000000000
40002020018	A1	40002020020
40002021003	A1	40002019012
40002021004	A0	40002021001
40002021004	A1	40002021006
40002021004	A1	40002021009
40002021012	A0	40002019012
40002022001	A0	40002019012
40002022005	A0	40002022004
40002022013	A1	40002019012
40002022015	A0	40002019012
40002022016	A1	40002019012
40002022020	A0	40002019012
40002023002	A0	40002019012
40002023003	A0	40002019012
40002023009	A1	40002023011
40002023011	A1	40002023016
40003001006	A0	40003001007
40003001010	A0	40003001007
40003002001	A0	40003001007
40003002002	A0	00000000000
40003002003	A0	40003002007
40003003005	A1	00000000000
40003003010	A0	40003003007
40003003012	A0	00000000000
40003003016	A0	00000000000
40003003016	A1	40003003018
40003003021	A0	00000000000
40003003021	A1	40003003023
40003004005	A0	40003004004
40003004005	A1	40003004007
40003005002	A0	40003005005
40003005002	A0	40003005009
40003005002	A0	40003005013
40003006002	A1	40003005005
40003006002	A1	40003005009
40003006002	A1	40003005013
40003006009	A0	40003005005
40003006009	A0	40003005009
40003006009	A0	40003005013
40003006009	A1	40003006011
40003007001	A0	40003004004
40003007001	A1	40003007003
40003007008	A0	40003007003
40003007012	A0	40003004004
40003007012	A2	40003007014
40003007017	A0	40003007016
40003007017	A2	40003007018
40003007017	A1	40003007019
40003007019	A0	40003007014
40003007022	A0	40003007023
40003008001	A0	40003007014
40003008001	A1	40003008003
40003009003	A0	40003007014
40003009003	A1	40003009004
40003009004	A0	40003007014
40003009008	A0	40003007014
40003009008	A1	40003009010
40003009011	A0	40003004004
40003009011	A2	40003009013
40003009015	A0	40003009017
40003009015	A1	40003009022
40003009022	A0	40003009017
40003009022	A1	40003009023
40003009022	A2	40003009025
40003010010	A0	40003010004
40003010015	A0	40003010013
40003010015	A1	40003010016
40003010018	A1	40003010013
40003010022	A1	40003010013
40003011004	A0	40003011001
40003011004	A1	40003011003
40003011013	A0	00000000000
40003011023	A0	40003004004
40003011023	A1	40003011022
40003011026	A0	40003011024
40003011026	A1	40003011025
40003012009	A0	40003011013
40003012009	A1	40003012011
40003012014	A0	40003011013
40003012014	A1	40003012016
40003012024	A0	40003011013
40003012024	A1	40003012023
40003013002	A0	40003013004
40003013015	A1	40003013004
40003014003	A0	40003014001
40003014003	A1	40003014004
40003014005	A0	40003014001
40003014008	A0	40003014007
40003014008	A1	40003014008
